id,Team,Runner,Yards,RunTime,Mintime,Maxtime,Avg,Nationality,Gen,Age,Comments,Yard1,Yard2,Yard3,Yard4,Yard5,Yard6,Yard7,Yard8,Yard9,Yard10,Yard11,Yard12,Yard13,Yard14,Yard15,Yard16,Yard17,Yard18,Yard19,Yard20,Yard21,Yard22,Yard23,Yard24,Yard25,Yard26,Yard27,Yard28,Yard29,Yard30,Yard31,Yard32,Yard33,Yard34,Yard35,Yard36,Yard37,Yard38,Yard39,Yard40,Yard41,Yard42,Yard43,Yard44,Yard45,Yard46,Yard47,Yard48,Yard49,Yard50,Yard51,Yard52,Yard53,Yard54,Yard55,Yard56,Yard57,Yard58,Yard59,Yard60,Yard61,Yard62,Yard63,Yard64,Yard65,Yard66,Yard67,Yard68,Yard69,Yard70,Yard71,Yard72,Yard73,Yard74,Yard75,Yard76,Yard77,Yard78,Yard79,Yard80,Yard81,Yard82,Yard83,Yard84,Yard85,Yard86,Yard87,Yard88,Yard89,Yard90,Yard91,Yard92,Yard93,Yard94,Yard95,Yard96
95,Spain,Jose Francisco Iglesias Martín,31,23:49:37,00:56,55:25,46:07,Spain,M,43,,00:56,51:06,50:39,49:28,47:24,38:29,50:25,49:32,46:04,47:54,48:43,47:26,45:55,48:48,48:48,46:04,46:15,49:13,48:11,44:22,46:11,46:40,39:06,39:06,49:12,48:29,49:34,52:18,50:44,47:10,55:25,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Japan,Masayuki TAKEI,31,25:04:29,43:35,53:25,48:32,Japan,M,45,Last Samurai Standing 30yards,48:42,48:05,48:27,48:50,47:01,49:34,50:03,49:45,50:10,47:44,43:35,44:53,49:37,50:08,47:15,46:25,47:54,48:27,49:33,48:00,49:14,49:25,50:17,49:03,44:36,46:47,49:25,50:52,47:57,53:25,49:20,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Finland,Juha Jumisko,31,25:05:44,44:26,56:10,48:34,Finland,M,38,"Team Captain, NBU 2020 golden ticket winner 33 yards",45:09,48:54,44:26,49:00,47:05,48:35,49:10,49:00,49:10,48:20,49:10,48:55,48:35,49:00,48:15,49:50,48:10,46:25,48:00,47:15,47:20,47:50,48:05,48:20,48:00,47:35,50:45,50:55,49:05,49:15,56:10,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Ukraine,Oleksandr Slipets,31,25:14:43,44:09,56:19,48:52,Ukraine,M,36,100km - 10:26:17; 24h - 174.947km,44:09,48:11,48:33,47:13,48:57,48:13,46:59,48:21,48:05,49:05,48:58,49:05,48:20,48:07,51:32,49:47,45:08,46:41,45:52,48:28,49:13,48:01,49:52,49:18,50:03,49:43,49:08,49:29,50:37,53:16,56:19,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Switzerland,Matthias Dippacher,31,25:27:30,44:22,53:41,49:16,Germany,M,43,"Spartathlon, EUT101, UTMB",49:00,51:28,51:01,49:57,50:09,47:10,49:27,53:08,48:01,48:28,48:06,48:50,47:45,52:57,51:03,47:47,47:21,48:59,47:47,44:22,45:12,51:04,47:04,50:13,49:00,48:49,48:13,47:31,53:41,51:19,52:38,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,France,Alexandra Rousset,31,25:31:47,41:12,57:09,49:25,France,F,50,Winner Diagonale des fous 2004,46:31,51:29,47:23,44:27,41:12,46:53,45:36,45:55,46:50,46:40,45:29,44:57,46:14,47:57,51:05,52:57,50:10,50:25,50:48,48:32,51:19,55:33,53:52,47:49,48:26,50:00,52:46,53:38,53:11,56:34,57:09,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,New Zealand,Fiona Hayvice,31,25:59:16,43:33,54:10,50:18,New Zealand,F,,"Fastest Miler 16hrs42, Longest distance run 210.134km in 24hrs, Longest time run 25hrs27, Last Person Standing virgin.   ",47:40,47:41,47:45,47:48,48:05,46:30,43:33,49:28,49:12,51:27,50:29,50:16,52:18,52:09,52:23,51:42,51:44,52:03,47:42,49:42,50:48,49:52,50:53,50:40,53:19,52:28,54:10,52:57,51:04,51:37,51:51,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Sweden,Malin Barrulf,31,26:13:36,47:56,55:39,50:46,Sweden,F,29,Best perf 28 yards,49:51,50:14,51:13,50:25,47:56,49:43,49:46,49:51,49:54,49:09,50:09,52:29,51:09,48:04,50:37,49:34,50:12,52:43,49:30,48:41,51:16,48:03,51:07,53:26,49:10,52:26,52:20,52:18,53:32,53:09,55:39,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,New Zealand,Andy Smith ,31,26:23:57,47:14,55:12,51:06,New Zealand,M,,"Fastest Miler 20hrs46, Longest distance 200km, Longest Run 33hrs48. Longest Shortest Day Winner (Crush the Cargill)",47:50,49:59,49:59,49:56,49:08,48:47,47:14,50:54,48:38,50:11,50:54,49:57,52:11,51:24,50:40,51:29,49:36,50:37,51:07,51:58,51:59,50:59,51:28,52:03,55:12,53:17,54:40,54:45,52:26,52:21,52:18,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Finland,Jeremy Palmer,31,26:24:32,47:13,58:55,51:07,USA,M,44,Finnish National 24-hour Rogaining Champion 2019,47:15,48:43,48:32,49:00,47:13,48:35,47:25,49:35,49:30,49:30,50:30,50:15,50:30,51:20,51:15,51:40,52:10,49:20,49:50,48:40,49:15,51:30,52:30,53:50,52:25,53:15,54:14,55:05,54:35,58:55,58:10,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Australia,Ryan Crawford,30,19:46:25,32:50,52:31,39:33,Australia,M,45,,32:50,36:26,35:57,37:48,38:39,38:58,34:04,36:10,35:15,35:15,34:17,36:15,38:01,37:36,34:32,37:20,39:34,38:53,40:02,42:05,42:45,52:31,44:46,43:50,42:21,41:29,43:27,42:41,46:13,46:25,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Ukraine,Serhii Ziuman ,30,21:56:06,38:37,48:35,43:52,Ukraine,M,34,100K 8:36:57.,43:09,46:32,46:58,44:37,48:35,43:23,42:39,42:58,43:55,42:26,46:56,43:16,43:10,46:21,45:39,45:02,42:32,42:33,42:00,41:48,46:20,39:24,42:29,42:48,45:20,41:56,46:47,42:15,45:41,38:37,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Mexico,Reyes Giltro Satevo,30,23:06:52,38:40,52:03,46:14,,M,,Many placements in endurance running events and a champion Rarajipari player. ,41:40,47:17,50:28,48:27,48:50,47:30,47:14,47:13,49:25,49:16,48:45,44:43,47:26,48:32,48:30,49:00,45:49,43:55,43:40,40:58,43:00,50:28,45:40,45:35,43:20,47:45,42:40,38:40,39:03,52:03,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Ukraine,Nazarii Hnat ,30,23:09:02,41:51,55:04,46:18,Ukraine,M,27,100km - 08:10; BU - 25 loops,45:03,49:58,49:54,48:09,48:55,48:26,45:48,45:58,47:33,46:10,45:23,45:17,43:22,46:30,45:36,45:32,42:35,42:36,45:49,41:51,43:42,46:42,42:32,42:43,45:18,43:18,46:44,50:12,52:22,55:04,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Mexico,Martin Moreno,30,23:11:57,39:05,54:40,46:24,Tarahumara Mexican,M,,,40:40,46:42,50:23,48:30,54:40,47:00,47:16,47:06,47:55,47:27,47:33,42:37,45:56,47:27,47:33,48:25,43:01,43:50,41:01,39:11,51:49,46:50,49:50,44:21,45:15,53:40,40:30,39:05,43:58,52:26,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,France,Guillaume Arthus,30,23:13:24,39:31,50:27,46:27,France,M,30,Best : 24h - 6x BY,46:02,49:26,39:31,45:26,44:51,46:12,41:13,47:59,46:28,48:02,46:11,49:43,47:59,47:30,45:37,46:57,47:30,46:54,47:06,45:34,45:30,45:20,45:16,45:27,47:35,46:38,46:24,46:12,48:24,50:27,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Germany,Patrick Obert,30,23:31:21,39:38,55:48,47:03,Germany,M,42,24h runner,43:58,46:51,46:17,46:45,47:45,43:23,46:40,47:01,46:42,47:15,46:49,39:38,47:43,46:13,41:27,46:51,47:39,46:23,46:20,45:11,45:08,45:48,54:41,46:04,47:08,46:01,46:31,52:24,54:57,55:48,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belgium,Clukers Karen,30,23:35:01,41:44,54:09,47:10,BE,F,42,,41:44,43:36,46:07,47:39,45:21,46:31,46:24,45:52,44:42,47:41,46:34,46:37,47:06,50:03,47:37,48:42,50:19,46:30,45:30,47:21,45:51,46:24,45:49,45:42,45:50,48:09,48:22,49:10,53:39,54:09,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Denmark,Lue Tornbo Baastrup,30,23:44:04,44:00,53:30,47:28,Danish,F,28,20 yards 2019,44:00,46:40,46:00,47:00,46:00,47:00,45:00,44:20,45:00,45:19,46:35,46:20,46:50,46:10,47:00,46:40,47:55,46:50,45:40,46:20,47:25,47:50,48:40,49:05,49:15,51:30,50:55,50:30,52:45,53:30,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Finland,Marianne Mäkinen,30,23:54:26,44:35,51:00,47:49,Finland,F,51,"2019 WC 24h 224,1 km",44:55,47:21,44:35,47:50,47:00,48:05,46:40,47:55,48:55,48:20,48:50,48:20,47:55,48:30,48:10,48:00,48:10,46:25,46:40,45:45,49:00,47:50,47:10,47:30,48:30,49:55,51:00,51:00,48:45,45:25,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Mexico,Hermilo García Gardea,30,23:57:41,40:48,52:49,47:55,Tarahumara Mexican,M,,,40:48,48:26,50:49,50:15,51:57,50:05,50:26,49:03,49:26,49:07,50:25,45:42,45:53,48:42,48:50,51:36,43:02,52:49,51:30,50:52,41:50,48:51,41:40,52:38,44:30,43:10,44:40,46:18,50:11,44:10,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Spain,Félix Sánchez Parra,30,24:49:44,46:21,52:18,49:39,Spain,M,46,,47:05,47:53,48:25,46:43,46:21,46:49,48:49,49:19,48:06,47:51,49:09,49:56,49:06,50:52,50:34,51:11,49:26,49:55,49:38,50:03,49:40,50:19,50:19,50:19,52:10,52:18,51:39,51:58,52:16,51:35,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Ireland,Richard Shannon,30,24:50:10,44:36,58:20,49:40,Northern Ireland,M,,,48:06,49:03,58:20,48:16,48:10,48:33,49:20,48:33,49:34,48:33,49:43,50:00,49:28,49:55,53:32,49:42,50:44,48:54,44:36,48:07,47:01,48:32,49:12,48:09,49:29,49:09,49:23,51:45,53:11,53:10,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Spain,Axier López De Aberasturi,30,25:02:54,39:25,54:28,50:06,Spain,M,41,,48:18,51:11,51:07,50:23,47:26,50:36,51:29,51:57,50:02,50:40,51:36,50:43,51:00,51:57,51:50,52:25,44:44,48:17,39:25,46:47,50:28,50:27,47:38,47:38,49:41,52:10,52:16,53:57,54:28,52:18,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Switzerland,Adrian Brennwald,30,25:15:22,41:14,57:18,50:31,Switzerland ,M,45,"UTMR, AlpenX100, E101, The Wayve, 24h = 231km",49:00,41:14,49:14,49:51,49:48,54:27,49:28,47:40,51:25,49:49,49:42,49:08,49:51,51:02,49:42,49:50,52:43,49:38,48:44,48:01,50:39,51:38,50:00,50:35,51:51,49:44,55:44,53:13,54:23,57:18,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Spain,Ibon Gamboa Santorcuato,30,25:20:57,47:23,53:04,50:42,Spain,M,48,,48:20,51:03,51:08,50:21,47:23,51:30,51:27,51:56,50:01,50:42,51:41,50:42,50:59,51:59,51:43,52:24,50:41,51:03,48:29,48:01,48:55,49:08,49:08,49:08,52:30,51:17,51:07,52:51,53:04,52:16,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Canada,Wayne Gaudet,30,25:27:48,45:05,56:35,50:56,Canadian,M,64,218 km /24 hrs,45:17,45:05,48:26,49:37,49:53,46:13,48:38,48:55,48:48,48:43,50:05,50:34,51:00,51:15,52:31,54:01,51:33,52:39,52:05,49:30,51:09,53:11,51:36,52:47,54:27,52:02,53:48,53:29,53:56,56:35,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Sweden,Daniel George,30,26:12:36,49:11,58:05,52:25,Sweden,M,44,Best perf 34 yards,51:19,53:43,52:06,53:20,56:32,50:17,49:48,53:19,51:45,55:42,53:27,52:29,49:54,50:45,50:50,51:04,53:16,52:11,51:48,49:11,51:20,53:48,51:19,51:17,51:45,54:23,51:35,52:07,54:11,58:05,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Ireland,Donna Owens,30,26:13:41,46:59,56:04,52:27,Northern Ireland,F,,,46:59,49:50,47:22,50:47,52:02,52:09,51:53,52:06,52:39,52:10,52:49,52:47,52:39,52:26,53:32,53:46,53:36,54:08,53:35,52:18,51:39,52:04,52:27,52:26,52:40,52:50,54:13,55:02,54:43,56:04,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,United Kingdom,Seán Nickell,30,26:17:09,46:32,58:57,52:34,Northern Ireland,M,,,46:32,50:35,50:24,49:00,49:00,54:13,49:59,52:00,51:08,51:06,49:05,49:30,50:30,50:54,49:17,52:23,52:34,52:16,53:03,52:14,52:48,55:26,55:13,56:47,55:01,54:43,55:52,58:22,58:17,58:57,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Japan,Kesuke TANAKA,30,26:21:16,49:41,55:50,52:43,Japan,M,38,Last Samurai Standing 19yards,53:10,53:35,52:12,51:20,53:37,51:27,52:16,55:50,51:17,51:28,49:41,51:30,51:35,51:54,51:29,51:24,51:33,52:16,52:21,52:12,53:02,51:04,54:11,54:16,52:06,55:15,55:40,53:16,54:39,55:40,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Spain,Ionel Cristian Malone,29,22:27:48,02:22,51:41,46:29,Romania,M,32,,46:32,48:05,48:02,46:40,44:28,44:28,47:50,49:11,47:48,47:24,48:41,49:44,50:06,51:38,46:36,46:03,45:30,49:30,50:18,43:28,46:24,47:53,48:07,48:07,51:41,49:43,50:24,51:05,02:22,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,France,David Barranger,29,22:54:14,37:36,58:17,47:23,France,M,43,3 laps Terminorum : French Barkley,48:30,51:35,47:03,47:25,47:35,47:19,47:39,46:56,47:09,47:33,47:20,46:02,52:31,48:16,47:32,47:57,48:02,49:48,47:43,48:12,47:00,44:03,45:20,37:36,41:38,47:32,41:08,49:33,58:17,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Canada,Myron Tetreault,29,23:10:42,44:32,56:14,47:57,Canadian,M,53,24 yards,47:21,46:17,44:35,44:32,48:06,46:49,46:21,46:08,48:43,46:14,48:55,45:11,47:03,47:55,46:58,46:17,47:32,47:27,46:50,47:32,48:05,47:17,49:20,51:24,50:01,49:28,48:12,53:55,56:14,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Singapore,Jasmine Goh,29,23:34:17,46:32,53:00,48:46,SINGAPOREAN,F,41,"ULTIMATE TRAILS OF THE SOUTH 2020 (50KM), MALAYSIA 1 ST FEMALE OPEN, 
THE NORTH FACE 100 (101KM), HONGKONG 9 TH FEMALE OPEN OCT 2019
VOLVIC FORCE OF NATURE 2019 (23KM), SINGAPOREOVERALL FEMALE WINNER, OVERALL 15 TH (TIME 1:57:58)
FOREST FORCE 50 2019 (25KM), SINGAPORE 1 ST FEMALE OPEN, ",53:00,52:00,49:30,48:29,48:53,49:53,49:24,49:38,48:36,51:57,47:45,48:44,48:18,48:18,47:15,46:32,48:03,47:37,47:07,46:50,46:57,47:28,48:45,48:38,48:43,48:46,48:38,46:38,51:55,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Switzerland,Luzia Bühler,29,24:12:16,47:16,55:36,50:05,Switzerland,F,38,"best: 26, 1x BY (assist), 2x WSR100",49:00,51:41,50:35,49:50,49:52,47:16,49:58,49:14,48:30,49:42,48:20,49:10,50:01,49:18,49:45,47:58,49:48,49:15,48:39,48:50,47:26,50:48,49:59,50:34,52:09,51:37,55:36,52:23,55:02,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Finland,Jani Hitonen,29,24:14:34,47:49,54:45,50:09,Finland,M,44,Two-time Nuuksio Backyard Ultra DNF'er,47:49,48:10,48:37,49:20,49:15,49:30,49:50,50:08,50:15,50:05,50:20,49:55,50:10,50:00,49:40,50:10,50:50,50:20,49:35,49:35,49:00,50:10,50:10,50:20,50:30,50:15,52:15,53:35,54:45,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Russia,Tatyana Maslova,28,22:43:39,45:33,53:55,48:42,Russia,F,,Paris - Alsace 2times finisher,45:33,47:00,46:50,50:40,47:10,47:02,47:10,47:24,50:30,50:00,47:45,49:40,48:05,49:51,48:20,49:07,50:00,47:16,47:45,47:40,48:00,48:50,48:50,48:50,49:11,50:10,51:05,53:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Switzerland,Leona Knüsel,28,23:02:46,44:59,55:44,49:23,Switzerland,F,26,Swiss Alpine Run T88,49:06,49:30,51:01,51:22,51:03,46:59,49:38,49:11,44:59,47:13,49:37,47:28,50:22,48:47,49:25,48:44,49:31,48:46,48:48,46:15,46:00,51:42,49:07,49:55,53:16,51:02,48:15,55:44,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Finland,Jani Saarinen,28,23:05:46,46:01,58:15,49:30,Finland,M,47,GVRAT in 26 days,46:01,47:52,46:58,48:40,47:45,48:15,48:40,48:40,49:20,48:35,49:10,49:15,49:25,49:00,49:30,49:00,49:15,48:15,47:55,47:20,47:20,48:30,48:35,49:35,52:40,54:50,57:10,58:15,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Spain,Jose Luis Martinez Hervas,28,23:07:44,43:39,53:50,49:34,Spain ,M,43,,47:23,48:08,50:28,49:25,43:39,50:34,50:23,51:12,48:31,49:33,50:58,49:40,49:33,51:14,49:52,51:31,50:22,49:16,51:04,48:37,46:57,46:37,47:41,47:41,50:44,51:37,51:14,53:50,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,United Kingdom,Gareth King,28,23:17:08,47:57,52:50,49:54,Northern Ireland,M,,,48:48,50:38,50:40,47:57,48:56,51:16,49:49,50:06,51:10,49:40,49:40,48:47,50:13,49:24,49:39,48:33,49:44,49:28,50:52,49:08,48:52,49:39,48:20,50:16,50:28,49:42,52:33,52:50,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Finland,Heikki Hihnala,28,23:19:56,47:08,56:25,50:00,Finland,M,38,All UTMB week races with podium in PTL,47:08,48:58,48:35,49:00,47:10,48:40,49:10,48:50,49:20,49:20,50:10,50:05,50:05,50:30,49:40,50:20,49:35,49:00,49:20,49:00,49:10,50:00,49:40,50:00,51:50,53:35,55:20,56:25,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Switzerland,Christian Knapp,28,23:25:15,41:30,55:46,50:11,Switzerland,M,53,"6x 100km Biel, Südtirol Ultra Skyrace, Scenic Trail",49:06,52:47,50:58,51:12,49:52,49:27,50:14,41:30,48:25,50:16,48:26,50:45,51:59,49:16,52:43,50:30,50:36,52:00,51:09,43:34,47:17,47:32,49:24,55:42,51:05,50:36,53:08,55:46,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,France,Aurélien Sanchez,28,23:29:40,46:08,56:44,50:21,France,M,29,Winner LDHD 24h,46:28,48:15,48:39,51:23,47:10,47:21,48:02,47:36,47:42,47:01,48:12,46:08,49:33,52:09,49:36,51:39,50:20,50:04,48:29,48:23,53:42,53:22,53:47,51:47,54:13,55:50,56:44,56:05,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Denmark,Jesper Elfving,28,23:43:23,45:33,58:40,50:50,Danish,M,59,18 yards 2019 - UTMB x 2,45:33,51:30,50:00,49:00,49:00,50:00,50:05,48:30,50:10,49:20,49:55,50:10,50:55,52:00,52:15,50:55,50:50,50:05,49:30,49:30,49:55,50:05,51:30,51:20,53:00,54:45,54:55,58:40,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,United Kingdom,Graeme Black,28,23:45:36,48:35,56:55,50:55,Northern Ireland,M,,,48:35,50:31,49:36,49:02,50:35,51:21,50:43,50:42,51:47,50:35,51:17,50:53,50:59,51:22,50:09,50:04,51:08,51:27,51:21,49:32,50:20,50:35,50:47,50:47,50:23,51:23,52:47,56:55,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,United Kingdom,Dave Stevenson,28,23:49:37,48:34,56:56,51:03,Northern Ireland,M,,,48:34,51:15,50:19,49:02,49:02,51:22,52:08,51:26,52:03,50:46,50:53,51:37,50:11,49:50,49:45,50:27,51:11,51:58,51:28,49:35,49:24,49:59,50:55,51:10,51:10,52:33,54:38,56:56,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Ireland,Finn O'Mara,28,24:27:02,45:56,57:33,52:24,Irish,F,,,45:56,49:02,49:29,48:41,50:29,51:41,49:28,50:44,51:49,51:18,49:27,50:52,53:36,51:50,50:41,52:17,54:59,55:11,55:23,55:35,55:35,53:28,53:51,53:40,53:38,54:22,56:27,57:33,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Germany,Tobias Krumm,27,19:57:51,35:42,52:25,44:22,Germany,M,42,"AUTV Eufaria, jurasteig 239k, andorra 233k, UTMR",40:05,42:31,40:55,41:13,40:46,44:40,42:28,48:07,46:36,42:42,48:32,46:48,35:42,52:01,48:20,44:25,43:11,39:07,43:19,42:08,43:16,42:44,43:35,43:51,46:46,51:38,52:25,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Germany,Wolfgang Neuweiler,27,21:06:31,39:30,57:27,46:54,Germany,M,45,"backyard rookie, many top 10 ultra-trails",43:56,43:52,45:41,44:58,47:42,39:30,46:29,47:21,47:17,47:56,48:37,46:42,46:36,48:14,46:27,46:12,47:05,46:42,48:03,50:38,46:11,46:12,45:34,43:52,47:48,49:29,57:27,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Belgium,Lejeune Sylvain,27,21:20:34,41:15,52:15,47:26,BE,M,33,,41:44,44:37,44:35,47:07,47:29,47:26,47:38,47:34,45:48,47:26,47:28,46:57,41:15,48:00,48:56,49:18,47:39,47:36,49:41,47:14,47:37,49:45,48:17,47:09,49:15,50:48,52:15,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Finland,Jaakko Eskelinen,27,21:46:42,45:15,56:00,48:24,Finland,M,34,NUTS 166 km trailrun winner 2019,46:00,47:52,47:25,49:00,47:45,48:30,49:20,48:40,48:55,47:55,48:40,49:15,50:00,48:25,46:40,49:30,48:10,46:40,47:50,47:15,47:00,47:50,49:00,48:40,49:10,45:15,56:00,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Denmark,Gritt Jakobsen,27,21:54:40,45:00,53:50,48:41,Danish,F,42,14 yards 2020 - 100 miles,45:00,47:00,47:00,47:00,48:00,48:00,49:15,48:00,49:30,48:20,49:30,49:00,48:50,48:55,48:50,48:35,49:00,48:20,47:55,47:25,48:10,48:25,48:45,49:05,50:30,52:30,53:50,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
