id,Team,Runner,Yards,RunTime,Mintime,Maxtime,Avg,Nationality,Gen,Age,Comments,Yard1,Yard2,Yard3,Yard4,Yard5,Yard6,Yard7,Yard8,Yard9,Yard10,Yard11,Yard12,Yard13,Yard14,Yard15,Yard16,Yard17,Yard18,Yard19,Yard20,Yard21,Yard22,Yard23,Yard24,Yard25,Yard26,Yard27,Yard28,Yard29,Yard30,Yard31,Yard32,Yard33,Yard34,Yard35,Yard36,Yard37,Yard38,Yard39,Yard40,Yard41,Yard42,Yard43,Yard44,Yard45,Yard46,Yard47,Yard48,Yard49,Yard50,Yard51,Yard52,Yard53,Yard54,Yard55,Yard56,Yard57,Yard58,Yard59,Yard60,Yard61,Yard62,Yard63,Yard64,Yard65,Yard66,Yard67,Yard68,Yard69,Yard70,Yard71,Yard72,Yard73,Yard74,Yard75,Yard76,Yard77,Yard78,Yard79,Yard80,Yard81,Yard82,Yard83,Yard84,Yard85,Yard86,Yard87,Yard88,Yard89,Yard90,Yard91,Yard92,Yard93,Yard94,Yard95,Yard96
65,Singapore,Abimanyu Shunmugam,34,27:21:35,44:58,53:00,48:17,SINGAPOREAN,M,49,"Great Southern Endurance run in Melbourne 2017: 24, - Rinjani 60 2018: 7, Dragon's Back Race 2019: 63, HK4TUC: Finisher",53:00,51:00,50:30,48:33,50:00,51:00,47:13,49:15,48:50,49:23,46:36,48:51,48:18,46:54,47:28,45:30,48:30,47:44,47:07,47:30,46:43,48:19,48:55,50:53,49:49,50:22,46:35,44:58,46:08,45:16,46:58,46:59,48:32,47:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Spain,Fernando Soriano Rubio ,34,27:27:44,43:07,53:21,48:28,Spain,M,46,,46:56,49:23,48:36,48:41,46:37,46:59,48:39,43:07,49:21,48:31,49:37,48:38,48:57,49:35,48:07,49:57,49:17,50:01,46:24,46:05,44:41,45:32,46:08,46:08,48:21,48:42,49:02,48:51,50:09,48:50,51:38,51:07,51:46,53:21,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Ireland,Mark Walker [ Harold ],34,27:32:10,44:55,53:32,48:36,Northern Ireland,M,,,46:34,48:20,48:58,46:53,48:20,47:38,46:58,50:02,47:14,50:17,49:22,48:20,50:53,49:07,46:42,48:25,47:39,47:03,49:20,45:30,47:02,44:55,46:51,50:46,44:56,48:35,45:09,51:07,47:46,53:32,53:18,51:12,49:54,53:32,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Finland,Jari Soikkeli,34,27:39:25,44:35,53:50,48:48,Finland,M,50,NBU 2019 winner with 26 yards,44:55,47:20,44:35,47:50,47:05,48:15,49:10,49:00,49:10,48:30,49:10,49:40,48:35,49:25,49:35,50:30,50:00,46:25,48:00,47:15,47:50,49:25,49:00,50:05,48:25,47:05,50:45,51:20,49:35,49:40,48:15,48:00,51:45,53:50,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Germany,Harald Menzel,34,28:06:49,40:12,58:21,49:37,Germany,M,42,"best perf 45 yards, spartathlon",40:12,43:57,44:24,44:55,46:22,45:46,46:50,47:27,48:27,48:00,46:07,45:58,49:09,50:37,49:53,49:03,49:15,49:18,49:38,49:13,48:17,47:59,48:07,51:56,55:18,50:08,53:24,50:40,54:06,55:22,55:02,55:37,58:01,58:21,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Canada,Victoria Brown,34,28:10:12,44:10,57:11,49:43,Canadian/Hungarian,F,45,213.8 km / 24 hrs,44:10,47:51,47:16,45:15,46:39,46:48,47:26,47:10,46:31,46:49,47:42,48:56,47:46,48:26,50:04,48:29,50:24,50:18,51:58,48:13,48:53,50:17,48:28,50:12,53:07,51:15,52:01,51:42,54:14,53:36,52:26,53:24,55:15,57:11,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Belgium,Badot Benoît,34,28:16:40,39:06,59:10,49:54,BE,M,34,,49:11,51:23,50:02,50:35,50:58,50:41,50:33,50:39,46:10,50:35,51:25,49:53,40:02,50:14,49:21,50:14,49:14,43:50,48:22,47:50,56:28,48:23,56:54,39:06,48:50,48:49,47:50,47:53,51:02,49:30,51:26,51:27,58:40,59:10,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,New Zealand,Glenn Sutton,34,28:45:44,46:50,58:55,50:45,New Zealand,M,,,49:52,50:47,49:39,49:59,49:12,48:54,46:50,50:36,48:38,50:11,50:15,48:42,50:19,50:09,50:02,50:34,50:56,50:14,50:02,50:32,50:56,50:48,50:18,48:20,49:15,48:56,51:45,50:08,52:14,51:34,50:16,57:30,58:26,58:55,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,United States,Olivier Leblond,34,29:02:24,43:32,58:08,51:15,USA,M,48,GT (33 yards),52:26,51:55,53:07,52:50,52:19,53:21,52:00,52:36,54:49,53:49,53:39,43:32,44:22,46:44,47:42,47:55,48:08,47:06,49:16,48:18,48:19,48:11,48:00,47:48,54:49,52:11,52:49,54:06,52:57,53:56,54:57,53:34,56:45,58:08,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Spain,Simon Gfeller,34,29:04:17,49:20,55:28,51:18,Switzerland,M,49,,49:20,49:53,51:23,49:55,50:14,50:51,51:21,52:01,50:15,50:44,51:38,50:53,51:01,51:51,51:51,52:33,51:19,51:42,51:17,49:32,50:24,50:15,50:12,50:12,51:58,51:41,51:04,51:49,51:19,51:28,52:53,53:03,52:57,55:28,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
